N, C, Time
10, 1, 2135
10, 2, 2075
10, 4, 2008
10, 8, 3320
10, 16, 91118
25, 1, 18988
25, 2, 15559
25, 4, 12960
25, 8, 12492
25, 16, 235410
50, 1, 261326
50, 2, 141728
50, 4, 73508
50, 8, 70582
50, 16, 514485
100, 1, 2.41684e+06
100, 2, 1.4754e+06
100, 4, 798348
100, 8, 335407
100, 16, 1.36739e+06
200, 1, 6.49465e+07
200, 2, 2.8045e+07
200, 4, 1.37063e+07
200, 8, 8.67152e+06
200, 16, 1.25144e+07
